player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_rating
PickKe00,QB,Kenny Pickett,PIT,245,389,2404,7,9,55,237,3,0,0,0,0,1,2,0,0,76.68
PierAl00,WR,Alec Pierce,IND,0,0,0,0,0,0,0,0,78,41,593,2,0,0,0,0,0.0
PierDa01,RB,Dameon Pierce,HOU,0,0,0,0,0,220,939,4,39,30,165,1,2,0,0,0,0.0
PinkJa02,TE,Jared Pinkney,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PittKy00,TE,Kyle Pitts,ATL,0,0,0,0,0,0,0,0,59,28,356,2,0,0,0,0,0.0
PittMi01,WR,Michael Pittman Jr.,IND,0,0,0,0,0,3,30,0,141,99,925,4,1,0,0,0,0.0
PollTo00,RB,Tony Pollard,DAL,0,0,0,0,0,193,1007,9,55,39,371,3,0,0,0,0,0.0
PoweBr00,WR,Brandon Powell,LAR,0,0,0,0,0,17,80,0,32,24,156,0,0,0,0,0,0.0
PoweCo00,WR,Cornell Powell,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PrenAd00,FB,Adam Prentice,NOR,0,0,0,0,0,4,9,0,3,3,9,0,0,0,0,0,0.0
PresDa01,QB,Dak Prescott,DAL,261,394,2860,23,15,45,182,1,0,0,0,0,1,0,0,0,91.13
PrinBy00,WR,Byron Pringle,CHI,0,0,0,0,0,0,0,0,16,10,135,2,0,0,0,0,0.0
ProcJa00,WR,James Proche,BAL,0,1,0,0,1,0,0,0,17,8,62,0,0,0,0,0,-414.58
PruiMy00,TE,MyCole Pruitt,ATL,0,0,0,0,0,0,0,0,21,16,150,4,0,0,0,0,0.0
PurdBr00,QB,Brock Purdy,SFO,114,170,1374,13,4,22,13,1,0,0,0,0,0,0,0,0,107.33
QuitTe00,TE,Teagan Quitoriano,HOU,0,0,0,0,0,0,0,0,14,7,113,2,0,0,0,0,0.0
RadeKe00,TE,Kevin Rader,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
RaymKa00,WR,Kalif Raymond,DET,0,0,0,0,0,7,36,0,64,47,616,0,1,0,1,0,0.0
ReagJa00,WR,Jalen Reagor,MIN,0,0,0,0,0,4,25,0,13,8,104,1,0,0,0,0,0.0
RenfHu00,WR,Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,50,36,330,2,1,0,0,0,0.0
ReynCr00,RB,Craig Reynolds,DET,0,0,0,0,0,23,102,0,10,9,116,0,0,0,0,0,0.0
ReynJo00,WR,Josh Reynolds,DET,0,0,0,0,0,0,0,0,59,38,479,3,0,0,0,0,0.0
RicaPa00,FB,Patrick Ricard,BAL,0,0,0,0,0,7,16,0,13,11,74,0,0,0,0,0,0.0
RiccGi00,TE,Giovanni Ricci,CAR,0,0,0,0,0,0,0,0,9,8,100,0,0,0,0,0,0.0
RiddDe00,QB,Desmond Ridder,ATL,73,115,708,2,0,16,64,0,0,0,0,0,2,0,0,0,86.43
RiveRo01,RB,Ronnie Rivers,LAR,0,0,0,0,0,9,21,0,5,5,29,0,0,0,0,0,0.0
RobiAl02,WR,Allen Robinson,LAR,0,0,0,0,0,0,0,0,52,33,339,3,0,0,0,0,0.0
RobiBr01,RB,Brian Robinson Jr.,WAS,0,0,0,0,0,205,797,2,12,9,60,1,0,0,0,0,0.0
RobiDe01,WR,Demarcus Robinson,BAL,0,0,0,0,0,0,0,0,75,48,458,2,1,0,0,0,0.0
RobiJa00,RB,James Robinson,NYJ,0,0,0,0,0,110,425,3,14,11,51,2,0,0,0,0,0.0
RobiWa01,WR,Wan'Dale Robinson,NYG,0,0,0,0,0,2,-1,0,31,23,227,1,0,0,0,0,0.0
RodgAa00,QB,Aaron Rodgers,GNB,350,542,3695,26,12,34,94,1,0,0,0,0,4,2,0,0,91.07
RodgAm00,WR,Amari Rodgers,HOU,0,0,0,0,0,2,7,0,25,16,204,1,1,0,0,0,0.0
RodgRi00,TE,Richard Rodgers,LAC,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0.0
RogeAr00,TE,Armani Rogers,WAS,0,0,0,0,0,2,26,0,6,5,64,0,0,0,0,0,0.0
RounLa00,RB,Larry Rountree,LAC,0,0,0,0,0,13,19,0,2,2,14,0,0,0,0,0,0.0
RuckJe00,TE,Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0.0
RudoKy00,TE,Kyle Rudolph,TAM,0,0,0,0,0,0,0,0,5,3,28,1,0,0,0,0,0.0
RushCo00,QB,Cooper Rush,DAL,94,162,1051,5,3,9,6,0,0,0,0,0,0,0,0,0,80.04
RyanMa00,QB,Matt Ryan,IND,309,461,3057,14,13,27,70,1,0,0,0,0,5,0,0,0,83.94
RypiBr00,QB,Brett Rypien,DEN,53,88,483,2,4,6,7,0,0,0,0,0,1,0,0,0,63.78
SampDr00,TE,Drew Sample,CIN,0,0,0,0,0,0,0,0,2,2,-2,0,0,0,0,0,0.0
SamuCu00,WR,Curtis Samuel,WAS,0,0,0,0,0,38,187,1,92,64,656,4,1,0,0,0,0.0
SamuDe00,WR,Deebo Samuel,SFO,0,0,0,0,0,42,232,3,94,56,632,2,2,0,0,0,0.0
SandBr00,WR,Braylon Sanders,MIA,0,0,0,0,0,0,0,0,3,2,17,0,1,0,0,0,0.0
SandMi01,RB,Miles Sanders,PHI,0,0,0,0,0,259,1269,11,26,20,78,0,2,0,0,0,0.0
SaubEr00,TE,Eric Saubert,DEN,0,0,0,0,0,0,0,0,24,15,148,1,0,0,0,0,0.0
SchrMa00,TE,Mason Schreck,HOU,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0.0
SchuDa00,TE,Dalton Schultz,DAL,0,0,0,0,0,0,0,0,89,57,577,5,1,0,0,0,0.0
SchwAn00,WR,Anthony Schwartz,CLE,0,0,0,0,0,4,57,1,10,4,51,0,1,0,0,0,0.0
ScotBo02,RB,Boston Scott,PHI,0,0,0,0,0,54,217,3,6,5,15,0,0,0,0,0,0.0
SermTr00,RB,Trey Sermon,PHI,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0.0
SewePe00,T,Penei Sewell,DET,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0.0
ShahRa00,WR,Rashid Shaheed,NOR,0,0,0,0,0,4,57,1,34,28,488,2,0,0,0,0,0.0
ShakKh00,WR,Khalil Shakir,BUF,0,0,0,0,0,0,0,0,20,10,161,1,0,1,0,0,0.0
ShenLa00,WR,Laviska Shenault Jr.,CAR,0,0,0,0,0,9,65,1,32,27,272,1,0,0,0,0,0.0
ShepSt00,WR,Sterling Shepard,NYG,0,0,0,0,0,0,0,0,24,13,154,1,0,0,0,0,0.0
SherTr00,WR,Trent Sherfield,MIA,0,0,0,0,0,0,0,0,51,30,417,2,0,0,0,0,0.0
SiemTr00,QB,Trevor Siemian,CHI,15,26,184,1,1,4,8,0,0,0,0,0,0,0,0,0,76.44
SillDa01,WR,David Sills,NYG,0,0,0,0,0,0,0,0,17,11,106,0,0,0,0,0,0.0
SimsCa00,WR,Cam Sims,WAS,0,0,0,0,0,0,0,0,18,8,89,0,0,0,0,0,0.0
SimsSt00,WR,Steven Sims,PIT,0,0,0,0,0,13,70,0,23,14,104,0,0,0,0,0,0.0
SingDe00,RB,Devin Singletary,BUF,0,0,0,0,0,177,819,5,52,38,280,1,3,0,0,0,0.0
SkowBe00,WR,Ben Skowronek,LAR,0,0,0,0,0,1,17,1,61,39,376,0,0,0,0,0,0.0
SlatMa00,WR,Matthew Slater,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SlayDa01,WR,Darius Slayton,NYG,0,0,0,0,0,0,0,0,71,46,724,2,1,0,0,0,0.0
SmarSt00,TE,Stone Smartt,LAC,0,0,0,0,0,0,0,0,5,4,17,0,0,0,0,0,0.0
SmitDe07,WR,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,136,95,1196,7,1,0,0,0,0.0
SmitGe00,QB,Geno Smith,SEA,399,572,4282,30,11,68,366,1,0,0,0,0,4,0,0,0,100.87
SmitIh00,WR,Ihmir Smith-Marsette,KAN,0,0,0,0,0,1,-1,0,4,1,15,0,1,0,0,0,0.0
SmitIr01,TE,Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,36,25,182,2,0,0,0,0,0.0
SmitJe03,WR,Jeff Smith,NYJ,0,0,0,0,0,0,0,0,11,8,134,0,0,0,0,0,0.0
SmitJo01,TE,Jonnu Smith,NWE,0,0,0,0,0,1,5,0,38,27,245,0,0,0,0,0,0.0
SmitJu00,WR,JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,101,78,933,3,2,0,0,0,0.0
SmitKe03,FB,Keith Smith,ATL,0,0,0,0,0,1,2,0,2,1,8,0,0,0,0,0,0.0
SmitSh03,WR,Shi Smith,CAR,0,0,0,0,0,0,0,0,41,22,296,2,1,0,0,0,0.0
SmitTr03,WR,Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,27,19,278,1,0,0,0,0,0.0
SmytDu00,TE,Durham Smythe,MIA,0,0,0,0,0,2,1,1,20,15,129,1,0,0,0,0,0.0
SneaWi00,WR,Willie Snead,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SnelBe00,RB,Benny Snell Jr.,PIT,0,0,0,0,0,20,90,1,2,2,17,0,0,0,0,0,0.0
SokoMa00,TE,Matt Sokol,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
SpilIs00,RB,Isaiah Spiller,LAC,0,0,0,0,0,18,41,0,3,3,13,0,0,0,0,0,0.0
St.BEq00,WR,Equanimeous St. Brown,CHI,0,0,0,0,0,6,54,0,38,21,323,1,0,0,0,0,0.0
StafMa00,QB,Matthew Stafford,LAR,206,303,2087,10,8,13,9,1,0,0,0,0,3,0,0,0,87.44
StevRh00,RB,Rhamondre Stevenson,NWE,0,0,0,0,0,210,1040,5,88,69,421,1,1,0,0,0,0.0
StewM.00,SS,M.J. Stewart,HOU,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.0
StidJa00,QB,Jarrett Stidham,LVR,53,83,656,4,3,14,84,0,0,0,0,0,1,0,0,0,89.23
StolJa00,TE,Jack Stoll,PHI,0,0,0,0,0,0,0,0,14,11,123,0,0,0,0,0,0.0
StraMi03,WR,Mike Strachan,IND,0,0,0,0,0,0,0,0,9,3,59,0,0,0,0,0,0.0
StreCh00,QB,Chris Streveler,NYJ,10,15,90,0,0,9,54,0,0,0,0,0,0,0,0,0,82.64
StroPi00,RB,Pierre Strong,NWE,0,0,0,0,0,10,100,1,7,7,42,0,0,0,0,0,0.0
